movie_id,primary_title,original_title,start_year,runtime_minutes,genres,clean_title,averagerating,numvotes,domestic_gross,foreign_gross,production_budget,worldwide_gross,release_date,release_year,release_month
tt0063540,Sunghursh,Sunghursh,2013,175.0,"Action,Crime,Drama",sunghursh,7.0,77,,,,,,,
tt0069049,The Other Side of the Wind,The Other Side of the Wind,2018,122.0,Drama,the other side of the wind,6.9,4517,,,,,,,
tt0100275,The Wandering Soap Opera,La Telenovela Errante,2017,80.0,"Comedy,Drama,Fantasy",the wandering soap opera,6.5,119,,,,,,,
tt0137204,Joe Finds Grace,Joe Finds Grace,2017,83.0,"Adventure,Animation,Comedy",joe finds grace,8.1,263,,,,,,,
tt0146592,Pál Adrienn,Pál Adrienn,2010,136.0,Drama,pál adrienn,6.8,451,,,,,,,
tt0154039,So Much for Justice!,Oda az igazság,2010,100.0,History,so much for justice!,4.6,64,,,,,,,
tt0159369,Cooper and Hemingway: The True Gen,Cooper and Hemingway: The True Gen,2013,180.0,Documentary,cooper and hemingway: the true gen,7.6,53,,,,,,,
tt0162942,Children of the Green Dragon,A zöld sárkány gyermekei,2010,89.0,Drama,children of the green dragon,6.9,120,,,,,,,
tt0176694,The Tragedy of Man,Az ember tragédiája,2011,160.0,"Animation,Drama,History",the tragedy of man,7.8,584,,,,,,,
tt0192528,Heaven & Hell,Reverse Heaven,2018,104.0,Drama,heaven & hell,4.0,72,,,,,,,
tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy",foodfight!,1.9,8248,,,45000000.0,73706.0,2012-12-31,2012.0,12.0
tt0250404,Godfather,Godfather,2012,,"Crime,Drama",godfather,6.7,236,,,,,,,
tt0255820,Return to Babylon,Return to Babylon,2013,75.0,"Biography,Comedy,Drama",return to babylon,5.9,123,,,,,,,
tt0263814,On kadin,On kadin,2019,,Drama,on kadin,7.1,100,,,,,,,
tt0285252,Life's a Beach,Life's a Beach,2012,100.0,Comedy,life's a beach,3.9,219,,,,,,,
tt0293069,Dark Blood,Dark Blood,2012,86.0,Thriller,dark blood,6.6,1053,,,,,,,
tt0297400,Snowblind,Snowblind,2015,,"Crime,Drama",snowblind,6.7,77,,,,,,,
tt0312305,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,2010,45.0,"Adventure,Animation,Sci-Fi",quantum quest: a cassini space odyssey,5.1,287,,,,,,,
tt0315642,Wazir,Wazir,2016,103.0,"Action,Crime,Drama",wazir,7.1,15378,1100000.0,,,,,,
tt0323808,The Wicker Tree,The Wicker Tree,2011,96.0,"Drama,Horror",the wicker tree,3.9,2328,,,,,,,
tt0326965,In My Sleep,In My Sleep,2010,104.0,"Drama,Mystery,Thriller",in my sleep,5.5,1889,,,,,,,
tt0328810,My Land,Aamaar Bhuvan,2018,102.0,"Drama,Family",my land,7.9,61,,,,,,,
tt0329539,Rice Girl,Rice Girl,2014,95.0,"Adventure,Comedy,Romance",rice girl,6.1,73,,,,,,,
tt0331312,This Wretched Life,This Wretched Life,2010,99.0,"Comedy,Drama",this wretched life,7.6,59,,,,,,,
tt0331314,Bunyan and Babe,Bunyan and Babe,2017,84.0,"Adventure,Animation,Comedy",bunyan and babe,5.0,302,,,,,,,
tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",on the road,6.1,37886,744000.0,8000000.0,25000000.0,9313302.0,2013-03-22,2013.0,3.0
tt0337926,Chatô - The King of Brazil,Chatô: O Rei do Brasil,2015,102.0,Biography,chatô - the king of brazil,6.0,558,,,,,,,
tt0339736,The Evil Within,The Evil Within,2017,98.0,Horror,the evil within,5.6,2420,,,,,,,
tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",the secret life of walter mitty,7.3,275300,58200000.0,129900000.0,91000000.0,187861183.0,2013-12-25,2013.0,12.0
tt0360556,Fahrenheit 451,Fahrenheit 451,2018,100.0,"Drama,Sci-Fi,Thriller",fahrenheit 451,4.9,14469,,,,,,,
tt0365545,Nappily Ever After,Nappily Ever After,2018,98.0,"Comedy,Drama,Romance",nappily ever after,6.4,6287,,,,,,,
tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",a walk among the tombstones,6.5,105116,26300000.0,26900000.0,28000000.0,62108587.0,2014-09-19,2014.0,9.0
tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",jurassic world,7.0,539338,652300000.0,,215000000.0,1648854864.0,2015-06-12,2015.0,6.0
tt0372538,Spy,Spy,2011,110.0,"Action,Crime,Drama",spy,6.6,78,110800000.0,124800000.0,,,,,
tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",the rum diary,6.2,94787,13100000.0,10800000.0,45000000.0,21544732.0,2011-10-28,2011.0,10.0
tt0376479,American Pastoral,American Pastoral,2016,108.0,"Crime,Drama",american pastoral,6.1,12898,544000.0,,,,,,
tt0377981,Gnomeo & Juliet,Gnomeo & Juliet,2011,84.0,"Adventure,Animation,Comedy",gnomeo & juliet,6.0,49550,,,,,,,
tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",the three stooges,5.1,28570,44300000.0,10500000.0,30000000.0,54052249.0,2012-04-13,2012.0,4.0
tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",anderson's cross,5.5,106,,,300000.0,0.0,2010-12-31,2010.0,12.0
tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",tangled,7.8,366366,200800000.0,391000000.0,260000000.0,586477240.0,2010-11-24,2010.0,11.0
tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",john carter,6.6,241792,73100000.0,211100000.0,275000000.0,282778100.0,2012-03-09,2012.0,3.0
tt0403645,Burnt by the Sun 2,Utomlennye solntsem 2,2010,181.0,"Drama,History,War",burnt by the sun 2,4.1,3907,,,,,,,
tt0403935,Action Jackson,Action Jackson,2014,144.0,"Action,Thriller",action jackson,3.3,2862,,,7000000.0,20257000.0,1988-02-12,1988.0,2.0
tt0404978,Gambit,Gambit,2012,89.0,"Comedy,Crime",gambit,5.7,22148,,,,,,,
tt0409379,In Secret,In Secret,2013,107.0,"Crime,Drama,Thriller",in secret,6.2,7045,444000.0,,,,,,
tt0409847,Cowboys & Aliens,Cowboys & Aliens,2011,119.0,"Action,Sci-Fi,Thriller",cowboys & aliens,6.0,195889,100200000.0,74600000.0,,,,,
tt0411951,Tekken,Tekken,2010,87.0,"Action,Crime,Drama",tekken,4.8,24913,,,,,,,
tt0417610,Asleep in the Sun,Dormir al sol,2010,83.0,Fantasy,asleep in the sun,6.4,80,,,,,,,
tt0417750,Hempsters: Plant the Seed,Hempsters: Plant the Seed,2010,90.0,Documentary,hempsters: plant the seed,7.5,107,,,,,,,
tt0419692,Disconnect,Disconnect,2010,112.0,"Drama,Mystery,Sci-Fi",disconnect,4.5,190,1400000.0,,,,,,
tt0420293,The Stanford Prison Experiment,The Stanford Prison Experiment,2015,122.0,"Biography,Drama,History",the stanford prison experiment,6.9,32591,661000.0,,,,,,
tt0423474,Venus & Vegas,Venus & Vegas,2010,95.0,"Action,Comedy,Crime",venus & vegas,4.2,468,,,,,,,
tt0424859,The Ninth Cloud,The Ninth Cloud,2014,93.0,Drama,the ninth cloud,6.2,56,,,,,,,
tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,dinner for schmucks,5.9,91546,73000000.0,13800000.0,69000000.0,86796502.0,2010-07-30,2010.0,7.0
tt0427543,A Million Little Pieces,A Million Little Pieces,2018,113.0,Drama,a million little pieces,7.6,120,,,,,,,
tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",the a-team,6.8,235256,77200000.0,100000000.0,110000000.0,177241171.0,2010-06-11,2010.0,6.0
tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",the possession,5.9,53649,49100000.0,36300000.0,14000000.0,82925064.0,2012-08-31,2012.0,8.0
tt0433035,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family",real steel,7.1,283534,85500000.0,213800000.0,110000000.0,263880341.0,2011-10-07,2011.0,10.0
tt0433397,Satin,Satin,2011,84.0,"Comedy,Drama,Music",satin,4.7,214,,,,,,,
tt0433533,Caleuche: El llamado del Mar,Caleuche: El llamado del Mar,2012,100.0,"Drama,Fantasy,Horror",caleuche: el llamado del mar,5.2,168,,,,,,,
tt0435651,The Giver,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",the giver,6.5,104999,45100000.0,21900000.0,25000000.0,66540205.0,2014-08-15,2014.0,8.0
tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",toy story 3,8.3,682218,415000000.0,652000000.0,200000000.0,1068879522.0,2010-06-18,2010.0,6.0
tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,122.0,"Action,Adventure,Sci-Fi",alita: battle angel,7.5,88207,,,170000000.0,402976036.0,2019-02-14,2019.0,2.0
tt0439801,Segurança Nacional,Segurança Nacional,2010,86.0,Action,segurança nacional,3.3,260,,,,,,,
tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",lincoln,7.4,228701,182200000.0,93100000.0,65000000.0,273346281.0,2012-11-09,2012.0,11.0
tt0443331,Milenge Milenge,Milenge Milenge,2010,109.0,"Drama,Romance",milenge milenge,4.1,1571,,,,,,,
tt0443465,Before We Go,Before We Go,2014,95.0,"Comedy,Drama,Romance",before we go,6.8,45181,37200.0,,3000000.0,483938.0,2015-09-04,2015.0,9.0
